Pike_ID,Population,whole_weight,Fork_Length,DML_res,DML_rea,DML_Detector,DV_res,DV_rea,DV_Detector,Vent_temp1,Vent_temp2
101-20,Invasive,343.5,361,362.6666667,135,12.8,190,96.66666667,8.5,5.6,6.1
102-20,Invasive,309.8,350,418,145.3333333,13.6,184,91.66666667,8,-0.1,0.6
107-20,Invasive,315.7,353,397.3333333,135.6666667,13,181.6666667,78.66666667,7.5,0.4,1.4
111-20,Invasive,291.9,328,355,107.3333333,12,188.3333333,82.66666667,8.5,3.1,4
112-20,Invasive,284.3,334,395,143,11.2,170.6666667,84,7.5,-0.3,1.3
113-20,Invasive,288.4,349,439.3333333,133.3333333,12.2,215.3333333,98,9,0,2.2
82-20,Native,211.6,311,424,134.6666667,9.8,210.3333333,88.33333333,6,0.5,1.3
83-20,Invasive,438.9,381,346.6666667,123.3333333,14.1,176,75,8,0.8,1.3
87-20,Native,335.7,370,391,129.3333333,11.5,181.6666667,83.66666667,8,1.5,3.9
96-20,Native,253,331,456.6666667,123,11,193.3333333,83.33333333,8,1,1.5
D12-20,Native,351.7,374,356.3333333,130.3333333,12.8,224.6666667,104.3333333,9.5,2.5,4.8
D13-20,Native,347,364,349.6666667,135,12.2,160.6666667,80.66666667,9,1.1,2.5
D17-20,Invasive,295.6,345,431,166.3333333,12,226.6666667,114,8,1,1.6
D18-20,Invasive,515.4,392,330,136.3333333,15,196.6666667,90.66666667,9,2.1,2.6
D21-20,Native,406.8,391,385,147.6666667,14.5,162.3333333,96.33333333,9.5,2.8,4.1
D22-20,Invasive,234.2,300,375.6666667,123.6666667,11,213.3333333,103,9,1.8,2.5
D24-20,Invasive,269.4,312,431.3333333,190.6666667,11,274.6666667,152.3333333,8,1,1.6
D25-20,Native,365.5,364,376,138.3333333,13,219.6666667,74.66666667,9.5,0.5,1.8
D39-20,Native,424.2,394,348,128.3333333,14,236,74.66666667,9.5,4.3,5.6
D45-20,Invasive,265.7,329,374.6666667,141.3333333,12,250.3333333,118,9,2.3,3.1
D46-20,Native,438.3,395,344.3333333,132.3333333,13.7,179.6666667,85.66666667,9.5,1,2.5
D47-20,Invasive,407.7,367,354,134.6666667,13,222.3333333,98,10,2.4,2.3
D49-20,Invasive,314.8,345,418,165.6666667,13,263,115.6666667,9,0.6,1.5
D62-20,Native,195.1,301,425.3333333,138.3333333,9.5,229,94.33333333,6.5,1.8,3.4
D63-20,Native,324.3,374,432.6666667,144,12.5,208,65.66666667,7.2,0.3,1.1
D64-20,Native,457.5,376,371.6666667,116.6666667,13,218,83.33333333,7.5,1,1.8
D65-20,Native,214,326,405,138.3333333,10,205.3333333,77.66666667,7.5,5.7,7
D66-20,Native,258.5,340,412.6666667,92.66666667,10.4,199,97,7.5,0.5,1.5
D71-20,Invasive,287.4,341,385.6666667,116.6666667,11.2,209.3333333,79,9,0,1.9
D74-20,Native,494.9,423,413,148.3333333,13.9,217.3333333,92.33333333,7.5,0.4,1.3
D75-20,Native,227.6,319,419,130,10.5,206,89.33333333,7.5,1.2,2.1
D8-20,Invasive,463.6,395,366.3333333,164.3333333,14.5,226.3333333,125.3333333,9,2.9,3.7
